Z轴	Z-axis
∪	UnionSet
集合的元素	ElementOfSet
元素的个数	NumberOfElement
个数	Number
三视图	ThreeViewDrawing
几何体的三视图	ThreeViewDrawingOfGeometry
表面积	SurfaceArea
几何体的表面积	SurfaceAreaOfGeometry
几何体的体积	VolumeOfGeometry
三棱锥的三视图	ThreeViewDrawingOfTriangularPyramid
三棱锥的表面积	SurfaceAreaOfThreeViewDrawing
球的球面	SphericalSurfaceOfSphere
球面的点	PointOfSphericalSurface
球面的动点	MovingPointOfSphericalSurface
动点	MovingPoint
三棱锥的体积	VolumeOfTriangularPyramid
体积的最大值	MaximalValueOfVolume
球的表面积	SurfaceAreaOfSphere
△	Triangle
null的中点	MidpointOfEdge
折成	Fold
二面角的平面角	PlaneAngleOfDihedralAngle
所成	Become
角的余弦值	CosineOfAngle
余弦值	Cosine
交	Intersect
二面角的余弦值	CosineOfDihedralAngle
⊥	Perpendicular
线段的中点	MidpointOfLineSegment
锐二面角的余弦值	CosineOfAcuteDihedralAngle
平面角的余弦值	CosineOfPlaneAngle
平面直角坐标系	RectangularPlaneCoordinateSystem
椭圆的离心率	EccentricityOfEllipse
右焦点	Rightfocus
左准线	LeftDirectrix
椭圆的方程	EquationOfEllipse
公比	CommonRatio
前n项和的最大值	MaximalValueOfSumOfPreN
是	Equal
数列的首项	FirstTermOfSequence
数列的前8项和	SumOfForntEightOfSequence
等差数列的前n项和	SumOfPreNOfArithmeticSequence
null的通项公式	GeneralFormulaOfSequence
等比数列的公比	CommonRatioOfGeometricSequence
构成	Constitute
>=	NoLessThan
公差	Tolerance
等差数列的公差	ToleranceOfArithmeticSequence
无穷等比数列的公比	CommonRatioOfInfiniteGeometricSequence
前8项和	SumOfForntEight
三棱锥的最大值	MaximalValueOfTriangularPyramid
方程的最大值	MaximalValueOfEquation
方程的最小值	MinimalValueOfEquation
null的最小值	MinimalValueOfParameter
不等式的解集	SetOfSolutionOfInequality
圆的圆心	CenterOfCircle
圆的方程	EquationOfCircle	
$\parallel$	Parallel
四棱锥的最长棱	LongestEdgeOfRectangularPyramid
最长棱的棱长	LengthOfLongestEdge
复数的实部	RealPartOfComplexNumber
双曲线的焦点	FocusOfHyperbola
既不充分也不必要条件	NeitherSufficientNorNecessaryConditions
既不充分又不必要条件	NeitherSufficientNorNecessaryConditions
既不充分也非必要条件	NeitherSufficientNorNecessaryConditions
既不充分又非必要条件	NeitherSufficientNorNecessaryConditions
$\cup$	UnionSet
等差数列的通项公式	GeneralFormulasOfArithmeticSequence
直线的中点	MidpointOfLine
$\perp$	Perpendicular
平行	Parallel
＞	GreaterThan
null的极值	ExtremeValueOfFunction
垂直于	Perpendicular
直线的斜率	SlopeOfLine
存在	Exist
$\in$	BelongTo
三棱锥的最长棱	LongestEdgeOfTriangularPyramid
⊙	Circle
大小关系	SizeRelationship
空间几何体	SpaceGeometry
空间几何体的三视图	ThreeViewDrawingOfSpaceGeometry
如图所示	InDrawing
⊙的半径	RadiusOfCricle
线段的延长线	ExtendedLineOfLineSegment
线段的长	LengthOfLineSegment
被截得的	ChordLengthByCut
不可能相等	Inequality
任意	Any
平面的动点	DynamicPointOfPlane
所成角	BecomeAngle
所成角的正切值	TangentValueOfAngle
正切值的集合	SetOfTangentValue
三角形的内角	InteriorAngleOfTriangle
内角的对边	OppositeSideOfInteriorAngle
对边的值	ValueOfOppositeSide
所有	ForAll
棱柱的棱长	EdgeLengthOfPrism
奇偶数字相间	OddByEven
无重复数字	NumbersWithNoRepetition
组成六位数	BecomeSixDigits
六位数的个数	NumberOfSixDigits
二面角的值	ValueOfDihedralAngle
底面	Bottom
曲线的切线	TangentOfCurve
$\subset$	Subset
夹角	Angle
函数的函数图象	FunctionDrawingOfFunction
函数图象的对称轴	SymmetryOfFunctionDrawing
对称轴的方程	EquantionOfSymmetry
各项都不相等	EveryItemIsInequality
各项均不为零	EveryItemIsNotZero
圆的极坐标方程	PolarEquationOfCircle
直角坐标方程	RightAngleCoordinateEquation
圆心的直角坐标	RectangularCoordinateOfCenterOfCircle
化为	EquantionSwitch
不大于	LessThanOrEqual
输出的结果	ResultOfOutput
输入的整数	IntegerOfInput
输入的整数的最大值	MaximalValueOfIntegerOfInput
在上	On
抛物线的方程	EquantionOfParabola
圆的直径	DiameterOfCircle
y轴的负半轴	NegativeY-axis
相交	Intersect
三角形的面积	AreaOfTriangle
面积的最大值	MaximalValueOfArea
相切	Tangency
必要不充分条件	NecessaryNotSufficientCondition
所在平面内	ThePlaneOf
平面内的点	PointOfPlane
夹角的余弦值	CosineOfAngle
函数的单调增区间	MonotonicIncreasingIntervalOfFunction
等差数列的前六项和	SumOfPreSixOfArithmeticSequence
等比中项	GeometricMean
不是奇函数	IsNotOddFunction
不是偶函数	IsNotEvenFunction
对应	Corresponding
内角的边长	EdgeLengthOfInteriorAngle
试确定	Asking
确定	Asking
自然对数的底数	Lur
构成等差数列	BecomeArithmeticSequence
构成等比数列	BecomeGeometricSequence
直线的极坐标方程	PolarEquationOfLine
沿着翻折成	FoldAlong
函数的切线	TangentOfFunction
棱锥的三视图	ThreeViewDrawingOfPyramid
棱锥的体积	VolumeOfPyramid
椭圆的标准方程	StandardEquationOfEllipse
对应的	Corresponding
集合的个数	NumberOfSet
不同集合	DifferentSet
投影	Projection
函数的单调减区间	MonotonicDecreasingIntervalOfFunction
切线的方程	EquantionOfTangent
是否存在或	ExistOrNotOr
线段的垂直平分线	PerpendicularBisectorOfLineSegment
垂直平分线	PerpendicularBisector
定值	ConstantValue
面积的最小值	MinimalValueOfArea
函数的零点	ZeroPointOfFunction
从小到大依次为	EqualFromSmallToLarge
写出	WriteOut
数列的前number项	PreNumberOfSequence
数列的前number项和	SumOfPreNumberOfSequence
前number项	PreNumber
前number项和	SumOfPreNumber
从小到大的顺序排列	ArrangeFromSmallToLarge
$\neq$	NoEqual
对任意	ForAll
$\forall$	ForAll
和	Sum
根	Root
方程的根	RootOfEquantion
输出的null	ParameterOfOutput
输入的null	ParameterOfInput
正实数	PositiveRealNumber
边的点	PointOfEdge
在运动	OnMoving
等差数列的前number项和	SumOfPreNumberOfArithmeticSequence
等比数列的通项公式	GeneralFormulasOfGeometricSequence
不重合	Misalignment
四棱锥的底面	BottomOfSquarePyramid
三棱锥的正视图	FrontViewOfTriangularPyramid
三棱锥的俯视图	TopViewOfTriangularPyramid
正三角形的边长	EdgeLengthOfRegularTriangle
左视图的面积	AreaOfLeftView
正视图	FrontView
俯视图	TopView
左视图	LeftView
抛物线的点	PointOfParabola
正向	ForwardDirection
侧面	SidePlane
侧面的动点	MovingPointOfSidePlane
倍数关系	MultipleRelationship
向量平移后得到	TranslationWithVector
度数	Degree
角的度数	DegreeOfAngle
四棱锥的三视图	ThreeViewDrawingOfSquarePyramid
函数的极值	ExtremeValueOfFunction
不过	NoThrough
椭圆的右焦点	RightfocusOfEllipse
x轴正向	PositiveDirectionOfX-axis
$\cap$	IntersectionSet
定义在	DefineIn
大于等于	GreaterThanOrEqual
小于等于	LessThanOrEqual
取得最大值	GetMaximalValue
取得最小值	GetMinimalValue
取得极大值	GetMaximumValue
取得极小值	GetMinimumValue
取得最值	GetMaxOrMinValue
取得极值	GetExtremeValue
函数的极值点	ExtremeValuePointOfFunction
函数的图象	GraphicOfFunction
切线的斜率	SlopeOfTangent
小长方体	LittleCuboid
去掉所得	RemoveFor
正方体的棱长	EdgeLengthOfCube
不单调	NoMonotonic
有关	Relation
无关	NoRelation
没有重复数字	NoRepeatNumber
数字组成	NumberCompose
三位偶数	ThreeDigitsEven
组成四位偶数	BecomeFourDigitsEven
四位偶数	FourDigitsEven
延长线	ExtendedLine
参数	Parameter
正弦值	Sine
半径	Radius
角的大小	DegreeOfAngle
长	Length
对边	OppositeSide
中心	Center
夹角的大小	DegreeOfAngle
内	In
有number个不同零点	HaveNumberDifferentZeroPoint
$\supsetneqq$	Supsetneqq
$\supset$	Supset
$\subsetneqq$	Subsetneqq
公共点	CommonPoint
顶点	TopPoint
重心	Barycenter
垂心	Orthocenter
子集	Subcollection
两两垂直	PerpendicularEachOther
两两平行	ParallelEachOther
最长的一条棱	LongestEdge
不共线	NoOnSameLine
共线	OnSameLine
不共面	NoOnSamePlane
共面	OnSamePlane
角平分线	AngularBisector
左焦点	Leftfocus
实常数	RealConstant
有交点	HaveIntersection
所在	On
距离相等	DistanceEqual
异面直线	NonUniplanarLines
公垂线	CommonPerpendicular
内接三角形	InscribedTriangle
公共弦	CommonString
公差不为零	ToleranceIsNotZero
不为	IsNot
平分	DivideEqually
使成立	MakeRight
第四项	FourthItem
第一项	FirstItem
第二项	SecondItem
第三项	ThirdItem
第五项	FifthItem
第六项	SixthItem
平行投影	ParallelProjection
重合	Superposition
平行直线	ParallelLine
体积之比	VolumeRatio
不在上	NoOn
斜率	Slope
在中	On
仅有一个零点	OnlyOneZeroPoint
存在零点	ExistZeroPoint
有零点	HaveZeroPoint
$\exists$	Exist
$\leq$	LessThanOrEqual
$\geq$	GreaterThanOrEqual
输出的数据	ParameterOfOutput
垂线	VerticalLine
正确说法	CorrectStatement
有IsNumber	HaveIsNumber
不存在	NoExist
无数个	Countless
外接球	CircumscribedSphere
圆心	CircleCenter
直角坐标	RectangularCoordinate
下面命题中真命题的序号	NumberOfTrueProposition
递增区间	IncreasingInterval
递减区间	DecreasingInterval
所在平面	OnThePlaneOf
在内	In
关于对称	SymmetryAbout
单调增加	MonotoneIncreasing
单调减少	MonotoneDecreasing
满足	Satisfaction
较小	Little
不恒为零	NoAlwaysZero
有相同定义域	HaveSameDomain
有相同值域	HaveSameValueDomain
部分图像	PartOfGraphic
如右图所示	InRightDrawing
有不同单调性	HaveDifferentMonotonic
有相同	HaveSame
有不同	HaveDifferent
非零实数	NoZeroRealNumber
不可能是	ImpossibleIs
不可能为	ImpossibleIs
含	Contain
用表示	UseExpress
异于	DifferenceWith
判断	Judge
极值	ExtremeValue
侧视图	SideView
平面区域	PlaneDomain
所表示	Corresponding
右支	RightBranch
左顶点	LeftTopPoint
右顶点	RightTopPoint
不存在	NoExist
实数解	RealNumberSolution
韦恩(Venn)图	VennGraphic
韦恩（Venn）图	VennGraphic
韦恩图	VennGraphic
韦恩图关系	VennGraphicRelation
极坐标	PolarCoordinate
正投影	PositiveProjection
的三等分点	TrisectionPointOf
外	OutOf
y轴左侧	LeftPartOfY-axis
y轴右侧	RightPartOfY-axis
x轴右侧	RightPartOfX-axis
x轴左侧	LeftPartOfX-axis
位于	LocatedIn
长轴	LongAxis
短轴	ShortAxis
长度	Length
二面角的大小	DegreeOfDihedralAngle
所成角的大小	DegreeOfAngle
属于	BelongTo
试比较大小	TryToJudgeSize
算术平均数	ArithmeticAverage
含有	Belongto
倾斜角	SlantAngle
在上方	Upward
在下方	DownWard
上焦点	UpFocus
下焦点	DownFocus
端点	Endpoint
null的展开式	ExpandedFormularOfFormula
中	In
真	True
假	False
三角形数阵	TriangleNumericalMatrix
全体正奇数	AllPositiveOdd
排成	Align
内角	InteriorAngle
形状	Shape
终边	TerminalSide
轨迹	Path
不同的	AreDifferent
阴影区域	ShadowArea
封闭图形	ClosedPatterning
映射	Mapping
不等	NoEqual
有序数	OrderedNumber
象	Image
正整数数对	PositiveIntegerPair
不关于对称	NoSymmetryAbout
坐标轴	CoordinateAxis
另外	Other
沿向左平移	LeftMoveAlong
沿向右平移	RightMoveAlong
沿向上平移	UpMoveAlong
沿向下平移	DownMove
